NAME,COMMON NAME,FAMILY,NATIVITY,HABIT,LOCATION and QUANTITY,ACCN #
Silene uniflora,bladder campion,Caryophyllaceae,"NW Afr, Eur & temp Asia",HD,52 (2)                                                 ,1990-0487
Silene uniflora 'Druett's Variegated',bladder campion,Caryophyllaceae,Garden Origin,HD,58B (1)                                                 ,1999-0411
Silene viscaria,German campion,Caryophyllaceae,"Europe, Turkey to Siberia",HD,96A (1)                                                 ,1978-1065
Silene viscaria [Passion] = 'Splendens Plena',German campion,Caryophyllaceae,Garden Origin,HD,NURS (10)                                                 ,2012-0381
Silene viscaria 'Feuer',German catchfly,Caryophyllaceae,Garden Origin,HD,"NURS (36), 54 (20), 54A (16)",2009-0512
Silene viscaria ssp. atropurpurea,German catchfly,Caryophyllaceae,Europe to W Asia,HD,"NURS (56), 32 (16)",2009-0427
Silene yunnanensis,campion,Caryophyllaceae,China (Yunnan),HD,96A (5)                                                 ,1994-0508
Silene yunnanensis,campion,Caryophyllaceae,China (Yunnan),HD,122 (64)                                                 ,1996-0241
Silphium perfoliatum,cup plant,Asteraceae,E North America,HD,"16 (1), 151 (1)",1999-0495
Silybum marianum,blessed thistle,Asteraceae,SW Eur & Medit to Afghan,HD,55 (1)                                                 ,2001-0262
Sinofranchetia chinensis, ,Lardizabalaceae,C&W China,VD,124 (1)                                                 ,1987-0316
Sinojackia xylocarpa,jacktree,Styracaceae,E China,TD,123 (1)                                                 ,1994-0113
Sisyrinchium angustifolium,blue-eyed grass,Iridaceae,Maritime Prov's & SE USA,HE,22B (5)                                                 ,1996-0796
Sisyrinchium angustifolium,blue-eyed grass,Iridaceae,Maritime Prov's & SE USA,HE,NURS (2)                                                 ,2000-0359
Sisyrinchium angustifolium,blue-eyed grass,Iridaceae,Maritime Prov's & SE USA,HE,55 (8)                                                 ,1994-0336
Sisyrinchium bellum,Californian blue-eyed grass,Iridaceae,California,HE,22A (16)                                                 ,1996-0780
Sisyrinchium californicum,golden-eyed grass,Iridaceae,BC (Vanc Is) to S Calif,HE,22A (1)                                                 ,1988-0150
Sisyrinchium californicum,golden-eyed grass,Iridaceae,BC (Vanc Is) to S Calif,HE,22A (1)                                                 ,1981-0343
Sisyrinchium californicum,golden-eyed grass,Iridaceae,BC (Vanc Is) to S Calif,HE,"137M (10), 24E (12), 24A (15)",1996-1016
Sisyrinchium 'Devon Skies',blue-eyed grass,Iridaceae,Garden Origin,HD,NURS (10)                                                 ,2012-0093
Sisyrinchium graminoides 'Album',blue-eyed grass,Iridaceae,Garden Origin,HE,NURS (5)                                                 ,1998-0138
Sisyrinchium idahoense,Idaho blue-eyed grass,Iridaceae,"S BC to Calif, Wyo & NMex",HD,9 (198)                                                 ,2013-0180
Sisyrinchium idahoense,Idaho blue-eyed grass,Iridaceae,"S BC to Calif, Wyo & NMex",HD,"NURS (31), 24A (6), 4 (35)",2009-0626
Sisyrinchium idahoense,Idaho blue-eyed grass,Iridaceae,"S BC to Calif, Wyo & NMex",HD,"NURS (6), 10 (12)",2013-0094
Sisyrinchium idahoense,Idaho blue-eyed grass,Iridaceae,"S BC to Calif, Wyo & NMex",HD,24E (18)                                                 ,2004-0108
Sisyrinchium montanum,blue-eyed grass,Iridaceae,N Amer,HD,137C (12)                                                 ,1997-0687
Sisyrinchium 'Mrs Spivey',blue-eyed grass,Iridaceae,Garden Origin,HD,96A (1)                                                 ,1993-0339
Sisyrinchium 'Quaint and Queer',blue-eyed grass,Iridaceae,Garden Origin,HD,"68 (24), NURS (2)",2003-0111
Sisyrinchium striatum,"yellow-eyed grass, Huilmo",Iridaceae,Chile & Argentina,HE,59 (15)                                                 ,2007-0166
Sitanion hystrix,bottlebrush squirreltail,Poaceae,"BC to Sask, s to Calif & Tex",HD,135A (90)                                                 ,2000-0191
Skimmia japonica,Japanese skimmia,Rutaceae,China & Japan,SE,48S (5)                                                 ,1973-0705
Skimmia japonica,Japanese skimmia,Rutaceae,China & Japan,SE,94 (1)                                                 ,1982-0238
Skimmia japonica,Japanese skimmia,Rutaceae,China & Japan,SE,"45 (3), 47 (5)",1974-0308
Skimmia japonica 'Rubella',Japanese skimmia,Rutaceae,Garden Origin,SE,"NURS (5), 13B (7)",1995-0467
Skimmia japonica 'Rubella',Japanese skimmia,Rutaceae,Garden Origin,SE,55 (5)                                                 ,2012-0038
Skimmia japonica 'Rubella',Japanese skimmia,Rutaceae,Garden Origin,SE,"72A (9), 99 (7)",2010-0345
Skimmia japonica ssp. reevesiana,Japanese skimmia,Rutaceae,China & E Asia,SE,NURS (3)                                                 ,2016-0015
Skimmia japonica 'Wakehurst White',Japanese skimmia,Rutaceae,Garden Origin,SE,48S (6)                                                 ,1973-0056
Smyrnium perfoliatum,yellow alexanders,Apiaceae,"C&S Europe, N Africa, SE Asia",B,"32A (5), 32B (10)",2014-0058
Solanum dulcamara 'Variegata',deadly nightshade,Solanaceae,Garden Origin,VD,SEAS (1)                                                 ,1995-0110
Solanum laciniatum,kangaroo apple,Solanaceae,Australia & New Zealand,SE,"57 (11), NURS (1)",2005-0112
Solanum pyracanthum,devil's thorn,Solanaceae,Africa & Madagascar,HE,SEAS (3)                                                 ,2008-0413
Solanum 'Royal Robe',blue potatobush,Solanaceae,Garden Origin,SE,SEAS (6)                                                 ,1995-0602
Soldanella alpina,glacier alpenclock,Primulaceae,"Alps, Pyrenees to Tyrol",HD,96A (15)                                                 ,1997-0003
Soldanella alpina,glacier alpenclock,Primulaceae,"Alps, Pyrenees to Tyrol",HD,NURS (1)                                                 ,2010-0225
Soldanella villosa,Pyrenean alpenclock,Primulaceae,Pyrenees,HD,TR07 (1)                                                 ,2012-0289
Solidago canadensis,Canada goldenrod,Asteraceae,"Can, s to Calif, Tex & Fla",HD,NURS (32)                                                 ,2011-0316
Solidago canadensis,Canada goldenrod,Asteraceae,"Can, s to Calif, Tex & Fla",HD,"156 (48), 10 (7)",2001-0461
Solidago flexicaulis,zigzag goldenrod,Asteraceae,E North America,HD,NURS (44)                                                 ,2017-0112
Solidago 'Golden Baby',goldenrod,Asteraceae,Garden Origin,HD,"137M (1), NURS (2)",1997-0165
Solidago 'Golden Baby',goldenrod,Asteraceae,Garden Origin,HD,"25 (3), 24B (15)",2016-0028
Solidago 'Goldkind',goldenrod,Asteraceae,Garden Origin,HD,"147 (1), 15A (9)",1991-0592
Solidago rigida,stiff goldenrod,Asteraceae,"Alta to Ont, Mass & Ga",HD,68 (7)                                                 ,2001-0456
Solidago spathulata var. nana,"spikelike goldenrod, dune goldenrod",Asteraceae,"BC,Ala to NWT; toQue,NS; toVA,",HE,TR12 (1)                                                 ,2006-0038
Solidago virgaurea 'Praecox',goldenrod,Asteraceae,Garden Origin,HD,24E (10)                                                 ,1996-0957
Solidago virgaurea 'Praecox',goldenrod,Asteraceae,Garden Origin,HD,"70 (10), 68 (15)",2007-0191
Sophora davidii, ,Fabaceae,China,SD,"126C (1), 126D (1)",1990-0387
Sophora macrocarpa,"Mayo, May·",Fabaceae,Chile,TE,NURS (3)                                                 ,2008-0313
Sophora microphylla,"Kowhai, Pelé",Fabaceae,"New Zealand, Chile",TE,58C (3)                                                 ,2008-0314
Sorbaria tomentosa,Kashmir false spirea,Rosaceae,Himalayas,SD,121B (1)                                                 ,1981-0186
Sorbus, ,Rosaceae, ,TD,"35C (1), 85A (2)",1993-0239
Sorbus (sargentiana hybrid),hybrid mountain ash,Rosaceae,Garden Origin,TD,105 (1)                                                 ,1992-0513
Sorbus alnifolia,Korean mountain ash,Rosaceae,"NC China, Japan & Korea",TD,127D (1)                                                 ,1978-0678
Sorbus alnifolia 'Skyline',columnar Korean mt ash,Rosaceae,Garden Origin,TD,"127D (1), 127C (1)",1978-0657
Sorbus amurensis,mountain ash,Rosaceae,NE Asia,TD,136 (1)                                                 ,1983-0451
Sorbus amurensis var. rufa,mountain ash,Rosaceae,Korea,TD,"126B (1), 122 (1), 120A (1), 85A (2), 121 (1)",1993-0616
Sorbus aria 'Aurea',golden whitebeam,Rosaceae,Garden Origin,TD,99 (1)                                                 ,1978-0608
Sorbus aria 'Lutescens',whitebeam,Rosaceae,Garden Origin,TD,56 (3)                                                 ,1973-0117
Sorbus arranensis,Arran or Scottish whitebeam,Rosaceae,Scotland (Isl of Arran),SD,NURS (1)                                                 ,2015-0182
Sorbus aucuparia,European mtn ash,Rosaceae,Europe to AM & Siberia,TD,56 (1)                                                 ,1973-0209
Sorbus aucuparia,European mtn ash,Rosaceae,Europe to AM & Siberia,TD,NURS (1)                                                 ,2015-0184
Sorbus aucuparia,European mtn ash,Rosaceae,Europe to AM & Siberia,TD,117 (2)                                                 ,1996-0309
Sorbus aucuparia 'Aspleniifolia',cutleaf mountain ash,Rosaceae,Garden Origin,TD,99 (1)                                                 ,1978-0680
Sorbus aucuparia 'Pendula',weeping mountain ash,Rosaceae,Garden Origin,TD,63 (1)                                                 ,1973-0330
Sorbus aucuparia 'Sheerwater Seedling',fastigiate mtn ash,Rosaceae,Garden Origin,TD,105 (1)                                                 ,1978-0664
Sorbus aucuparia ssp. maderensis,Madeira mountain ash,Rosaceae,Portugal (Mts of Madeira),SD,"NURS (1), 58B (1)",1999-0193
Sorbus aucuparia var. edulis,European mtn ash,Rosaceae,Garden Origin,TD,55 (3)                                                 ,1975-0140
Sorbus bristoliensis,mountain ash,Rosaceae,SW England (Avon Gorge),TD,105 (1)                                                 ,1978-0633
Sorbus caloneura,mountain ash,Rosaceae,C China,TD,126D (1)                                                 ,1985-0218
Sorbus commixta,Japanese mtn ash,Rosaceae,Japan & Korea,TD,56 (1)                                                 ,1973-0778
Sorbus commixta,Japanese mtn ash,Rosaceae,Japan & Korea,TD,127C (2)                                                 ,1978-0696
Sorbus commixta,Japanese mtn ash,Rosaceae,Japan & Korea,TD,"NURS (1), 13C (1)",2007-0121
Sorbus dacica,Romanian mtn ash,Rosaceae,Romania,TD,NURS (1)                                                 ,1996-0582
Sorbus decora,showy mountain ash,Rosaceae,NE North America,TD,105 (1)                                                 ,1978-0685
Sorbus esserteauiana,mountain ash,Rosaceae,W Sichuan,TD,"134D (3), 129A (6), 79 (1)",1990-0623
Sorbus esserteauiana,mountain ash,Rosaceae,W Sichuan,TD,35C (1)                                                 ,1993-0655
Sorbus 'Ghose',Naga mountain ash,Rosaceae,Garden origin.,TD,75 (1)                                                 ,1978-0596
Sorbus glabrescens,Hubei mountain ash,Rosaceae,C&W China,TD,"72 (3), 71 (2), 126D (1)",1973-0418
Sorbus gracilis,mountain ash,Rosaceae,Japan,SD,55 (1)                                                 ,1975-0201
Sorbus graeca,Greek mountain ash,Rosaceae,"Greece, Syria & AM",TD,142 (1)                                                 ,1978-0650
Sorbus hupehensis,mountain ash,Rosaceae,C&W China,TD,NURS (1)                                                 ,2007-0127
Sorbus hupehensis 'Pink Pagoda',mountain ash,Rosaceae,Garden Origin,TD,"105 (1), 117 (1), 35A (1)",1990-0197
Sorbus intermedia,Swedish whitebeam,Rosaceae,N Europe,TD,105 (1)                                                 ,1991-0716
Sorbus japonica,mountain ash,Rosaceae,Japan & Korea,TD,56 (1)                                                 ,1973-0228
Sorbus 'Joseph Rock',mountain ash,Rosaceae,Garden Origin,TD,105 (1)                                                 ,1978-0618
Sorbus 'Joseph Rock',mountain ash,Rosaceae,Garden Origin,TD,15A (1)                                                 ,2003-0059
Sorbus koehneana,Koehne mountain ash,Rosaceae,C China,TD,75 (1)                                                 ,2014-0117
Sorbus latifolia,Fontainebleau mtn ash,Rosaceae,SW Germany to Portugal,TD,105 (1)                                                 ,1978-0309
Sorbus laxiflora,mountain ash,Rosaceae,China,TD,"105 (1), 136 (1)",1987-0088
Sorbus megalocarpa,mountain ash,Rosaceae,C China,SD,NURS (1)                                                 ,2009-0118
Sorbus munda,mountain ash,Rosaceae,W China,TD,NURS (1)                                                 ,1999-0549
Sorbus munda,mountain ash,Rosaceae,W China,TD,124 (1)                                                 ,1978-0307
Sorbus 'Pink Pearl',mountain ash,Rosaceae,Garden Origin,SD,85A (1)                                                 ,1993-0519
Sorbus poteriifolia,"mountain ash, zhu ru hua qiu ",Rosaceae,SW China,TD,NURS (1)                                                 ,2010-0230
Sorbus pseudofennica,"Arran cut-leaved whitebeam, Arran service tree",Rosaceae,Scotland (Isl of Arran),SD,NURS (1)                                                 ,2015-0187
Sorbus pseudofennica,"Arran cut-leaved whitebeam, Arran service tree",Rosaceae,Scotland (Isl of Arran),SD,NURS (1)                                                 ,2015-0185
Sorbus pseudofennica,"Arran cut-leaved whitebeam, Arran service tree",Rosaceae,Scotland (Isl of Arran),SD,NURS (1)                                                 ,2015-0186
Sorbus pseudovilmorinii,mountain ash,Rosaceae,China (Yunnan),TD,35C (1)                                                 ,1992-0346
Sorbus reducta,dwarf mountain ash,Rosaceae,W China & Myanmar,SD,NURS (1)                                                 ,2010-0229
Sorbus reducta,dwarf mountain ash,Rosaceae,W China & Myanmar,SD,128 (4)                                                 ,1982-0812
Sorbus rupicola,mountain ash,Rosaceae,"UK, S Scand & Estonia",SD,NURS (1)                                                 ,2015-0183
Sorbus rupicola,mountain ash,Rosaceae,"UK, S Scand & Estonia",SD,105 (1)                                                 ,1978-0614
Sorbus sargentiana,Sargent's mountain ash,Rosaceae,Sichuan (Mt. Omei region),TD,105 (1)                                                 ,1993-0499
Sorbus sargentiana,Sargent's mountain ash,Rosaceae,Sichuan (Mt. Omei region),TD,56 (3)                                                 ,1973-0115
Sorbus scopulina var. cascadensis,cascade mountain ash,Rosaceae,Cascades/Coast Mtns,SD,NURS (1)                                                 ,1996-0599
Sorbus sitchensis,Sitka mountain ash,Rosaceae,Alaska to BC & Idaho,SD,NURS (5)                                                 ,2016-0315
Sorbus torminalis,chequer tree,Rosaceae,"N Africa, Europe & AM",TD,105 (1)                                                 ,1978-0666
Sorbus vilmorinii,mountain ash,Rosaceae,Sichuan & Yunnan,SD,15A (1)                                                 ,1992-0347
Sorbus vilmorinii,mountain ash,Rosaceae,Sichuan & Yunnan,SD,NURS (1)                                                 ,2009-0169
Sorbus x kewensis,hybrid mountain ash,Rosaceae,Garden Origin,TD,99 (1)                                                 ,1978-0658
Sorbus x thuringiaca,bastard service tree,Rosaceae,E Germany & Carpathian Mts,TD,32 (1)                                                 ,2007-0129
Sorbus x thuringiaca 'Fastigiata',bastard service tree,Rosaceae,Garden Origin,TD,56 (1)                                                 ,1973-0338
Sorghastrum avenaceum 'Indian Steel',"indian grass, wood grass",Poaceae,Garden Origin,HD,NURS (8)                                                 ,1996-1073
Sorghastrum nutans,indian grass,Poaceae,Wyo & Man to Ont & Fla,HD,"NURS (36), 135A (5)",2000-0372
Sparaxis tricolor (mixed colors),harlequin flower,Iridaceae,Garden Origin,HD,75 (175)                                                 ,1996-1313
Spartium junceum,Spanish broom,Fabaceae,Mediterranean,SD,"55 (1), 32A (1), 56 (7)",1973-0287
Spartium junceum,Spanish broom,Fabaceae,Mediterranean,SD,32A (2)                                                 ,1973-0179
Sphaeralcea rivularis,streambank globemallow,Malvaceae,"BC to Ore, Mont, Colo",HD,NURS (1)                                                 ,2003-0167
Spiraea 'Arguta',foam of may,Rosaceae,Garden Origin,SD,35C (1)                                                 ,1992-0211
Spiraea cantoniensis 'Flore Pleno',Reeves spirea,Rosaceae,Garden Origin,SD,35C (1)                                                 ,1997-0056
Spiraea densiflora,"bridalwreath, subalpine spirea",Rosaceae,BC & Alta to Calif & Mont,SD,52 (1)                                                 ,2017-0348
Spiraea densiflora,"bridalwreath, subalpine spirea",Rosaceae,BC & Alta to Calif & Mont,SD,NURS (6)                                                 ,1998-0231
Spiraea douglasii,"Douglas' spirea, hardhack",Rosaceae,BC to N California,SD,33 (25)                                                 ,2011-0181
Spiraea douglasii,"Douglas' spirea, hardhack",Rosaceae,BC to N California,SD,"4 (1), 137F (1), 24B (1), 117 (11), 63 (1), 22A (8), 65 (1), 22B (2), 24D (3)",1976-0302
Spiraea douglasii,"Douglas' spirea, hardhack",Rosaceae,BC to N California,SD,NURS (15)                                                 ,2016-0256
Spiraea douglasii,"Douglas' spirea, hardhack",Rosaceae,BC to N California,SD,"5 (7), 43 (13)",2012-0168
Spiraea japonica,Japanese spirea,Rosaceae,China & Japan,SD,"35 (2), 55 (1)",1980-0934
Spiraea japonica [Golden Princess] = 'Lisp',Japanese spirea,Rosaceae,Garden Origin,SD,55 (6)                                                 ,1997-0534
Spiraea japonica 'Anthony Waterer',dwarf Japanese spirea,Rosaceae,Garden Origin,SD,"96A (5), 51 (1), 127D (1)",1973-0488
Spiraea japonica 'Fire Light',Japanese spirea,Rosaceae,Garden Origin,SD,NURS (1)                                                 ,1999-0497
Spiraea japonica 'Froebelii',Japanese spirea,Rosaceae,Garden Origin,SD,35C (7)                                                 ,1992-0464
Spiraea japonica 'Gold Mound',Japanese spirea,Rosaceae,Garden Origin,SD,21 (8)                                                 ,1993-0206
Spiraea japonica 'Limemound',Japanese spirea,Rosaceae,Garden Origin,SD,"61 (5), 61A (5)",2012-0412
Spiraea japonica 'Little Princess',dwarf Japanese spirea,Rosaceae,Garden Origin,SD,"36B (1), 36 (1), 36A (1)",2005-0102
Spiraea japonica 'Little Princess',dwarf Japanese spirea,Rosaceae,Garden Origin,SD,52 (12)                                                 ,1997-0535
Spiraea japonica 'Nana',dwarf Japanese spirea,Rosaceae,Garden Origin,SD,52 (1)                                                 ,1973-0782
Spiraea japonica 'Nana',dwarf Japanese spirea,Rosaceae,Garden Origin,SD,35C (1)                                                 ,1981-0639
Spiraea japonica 'Nana',dwarf Japanese spirea,Rosaceae,Garden Origin,SD,35C (3)                                                 ,1993-0207
Spiraea japonica 'Shirobana',Japanese spirea,Rosaceae,Garden Origin,SD,"NURS (7), 55 (1)",1993-0208
Spiraea japonica 'Shirobana',Japanese spirea,Rosaceae,Garden Origin,SD,37 (1)                                                 ,2005-0183
Spiraea japonica 'Shirobana',Japanese spirea,Rosaceae,Garden Origin,SD,"37 (2), 55 (1), 36A (1)",1996-0681
Spiraea micrantha,bridal wreath,Rosaceae,E Himalayas,SD,NURS (4)                                                 ,2002-0127
Spiraea nipponica 'Halward's Silver',Tosa spirea (Cdn cv),Rosaceae,Garden Origin,SD,117 (15)                                                 ,1986-0215
Spiraea thunbergii,"bridalwreath, Thunberg's spirea",Rosaceae,China & Japan,SD,3 (5)                                                 ,1994-0169
Spiraea x cinerea,hybrid bridalwreath,Rosaceae,Garden Origin,SD,"39 (1), 35D (1), NURS (1), 35E (1)",1994-0168
Spiraea x vanhouttei,Van Houtte spirea,Rosaceae,Garden Origin,SD,NURS (7)                                                 ,1993-0230
Spodiopogon sibiricus,frost grass,Poaceae,"Chn, Jpn, Kor & Sib",HD,159 (40)                                                 ,1994-0629
Spodiopogon sibiricus,frost grass,Poaceae,"Chn, Jpn, Kor & Sib",HD,123 (8)                                                 ,2016-0163
Sporobolus heterolepis,prairie dropseed,Poaceae,N America,HE,NURS (8)                                                 ,2010-0157
Sporobolus heterolepis,prairie dropseed,Poaceae,N America,HE,"135A (121), NURS (7)",2000-0333
Sporobolus heterolepis,prairie dropseed,Poaceae,N America,HE,135A (137)                                                 ,2000-0150
Sporobolus heterolepis,prairie dropseed,Poaceae,N America,HE,"96B (5), 96A (3)",2017-0164
Sporobolus heterolepis,prairie dropseed,Poaceae,N America,HE,24B (40)                                                 ,1994-0572
Sporobolus heterolepis,prairie dropseed,Poaceae,N America,HE,"NURS (9), 35A (16)",2009-0197
Sporobolus wrightii,Wright's dropseed,Poaceae,SW USA,HE,"NURS (4), 35B (1)",2011-0141
Stachys 'Bello Grigio',lamb's ears,Lamiaceae,Garden Origin,HE,NURS (1)                                                 ,2017-0303
Stachys byzantina,lamb's ears,Lamiaceae,Caucasus to Iran,HD,"4A (2), 88 (36), 61A (12), 14 (36), 4 (1)",1997-0273
Stachys byzantina,lamb's ears,Lamiaceae,Caucasus to Iran,HD,"154 (18), 50F (1)",1985-0279
Stachys byzantina 'Big Ears',lamb's ears,Lamiaceae,Garden Origin,HD,68 (16)                                                 ,2003-0112
Stachys byzantina 'Cotton Boll',lamb's ears,Lamiaceae,Garden Origin,HD,58B (3)                                                 ,2001-0137
Stachys chamissonis var. cooleyae,Cooley's hedge nettle,Lamiaceae,BC to Ore,HD,"NURS (2), 10 (4), 24B (2)",2013-0093
Stachys chamissonis var. cooleyae,Cooley's hedge nettle,Lamiaceae,BC to Ore,HD,22A (10)                                                 ,1995-0269
Stachys coccinea,betony,Lamiaceae,Arizona & Texas to Mexico,HD,NURS (12)                                                 ,2006-0091
Stachys ''Hidalgo'',Texas betony,Lamiaceae,Garden Origin,HE,96G (1)                                                 ,2011-0188
Stachys macrantha 'Robusta',big betony,Lamiaceae,Garden Origin,HD,NURS (5)                                                 ,2017-0194
Stachys macrantha 'Superba',big betony,Lamiaceae,Garden Origin,HD,"58B (10), 54 (5), 54A (9), 71 (6), 32 (1)",1998-0224
Stachys monieri,betony,Lamiaceae,European Alps & Pyrenees,HD,"51 (1), 32 (3)",1990-0484
Stachys monieri 'Saharan Pink',betony,Lamiaceae,Garden Origin,HD,"155 (10), 50E (10)",2000-0170
Stachys officinalis,wood betony,Lamiaceae,Asia & Europe,HD,41B (1)                                                 ,1991-0634
Stachys officinalis,wood betony,Lamiaceae,Asia & Europe,HD,32A (1)                                                 ,1977-0688
Stachys officinalis 'Hummelo',wood betony,Lamiaceae,Garden Origin,HD,55 (3)                                                 ,2011-0127
Stachyurus himalaicus, ,Stachyuraceae,W China & Taiwan,SD,NURS (1)                                                 ,1996-1103
Stachyurus praecox,spiketail,Stachyuraceae,Japan,SD,"127B (1), 136 (1), 13B (1)",1979-0700
Staphylea holocarpa,Chinese bladdernut,Staphyleaceae,C&W China,SD,"121E (1), 130C (1)",1983-0585
Staphylea pinnata,bladdernut,Staphyleaceae,Asia Minor & Europe,SD,13B (1)                                                 ,1993-0008
Staphylea pinnata,bladdernut,Staphyleaceae,Asia Minor & Europe,SD,NURS (2)                                                 ,1998-0314
Staphylea trifolia,bladdernut,Staphyleaceae,E USA,SD,NURS (3)                                                 ,2017-0113
Stauntonia hexaphylla, ,Lardizabalaceae,"Japan, S Korea & Ryukyus",VE,85A (1)                                                 ,1990-0305
Stephanandra incisa 'Crispa',lace shrub,Rosaceae,Garden Origin,SD,74 (1)                                                 ,2002-0304
Stephanandra incisa 'Nana',dwarf lace shrub,Rosaceae,Garden Origin,SD,25 (10)                                                 ,1974-0086
Stephanandra tanakae, ,Rosaceae,Japan (mts of Honshu),SD,"35C (1), 35E (3)",1993-0828
Sternbergia lutea,winter daffodil,Amaryllidaceae,Spain to Afghanistan,HD,52 (100)                                                 ,1989-0234
Sternbergia lutea,winter daffodil,Amaryllidaceae,Spain to Afghanistan,HD,51 (25)                                                 ,1996-1080
Stewartia monadelpha,orangebark stewartia,Theaceae,Japan & Korea,TD,86 (1)                                                 ,2004-0081
Stewartia monadelpha,orangebark stewartia,Theaceae,Japan & Korea,TD,46D (1)                                                 ,1973-0049
Stewartia monadelpha,orangebark stewartia,Theaceae,Japan & Korea,TD,"46E (1), 46D (1)",1973-0048
Stewartia pseudocamellia,Japanese stewartia,Theaceae,Japan,TD,46E (1)                                                 ,1973-0868
Stewartia pseudocamellia,Japanese stewartia,Theaceae,Japan,TD,128 (1)                                                 ,1993-0904
Stewartia pseudocamellia,Japanese stewartia,Theaceae,Japan,TD,"127D (1), 127A (1)",1992-0084
Stewartia pseudocamellia,Japanese stewartia,Theaceae,Japan,TD,46D (1)                                                 ,1973-0403
Stewartia rostrata, ,Theaceae,E China,TD,127D (1)                                                 ,2000-0003
Stewartia rostrata, ,Theaceae,E China,TD,127D (1)                                                 ,2012-0344
Stewartia serrata,sawtooth Stewartia,Theaceae,S Japan,TD,48S (1)                                                 ,1973-0503
Stewartia sinensis,Chinese stewartia,Theaceae,C&E China,TD,"74 (1), 123 (1)",1997-0519
Stewartia sinensis,Chinese stewartia,Theaceae,C&E China,TD,136 (1)                                                 ,1996-0161
Stipa calamagrostis,silver spike grass,Poaceae,C&S Europe,HD,NURS (24)                                                 ,2009-0186
Stipa capillata,feather grass,Poaceae,C&S Europe & Asia,HD,"24B (5), 159 (40)",1994-0630
Stipa gigantea,giant needle grass,Poaceae,"NW Afr, Port; C&S Spain",HE,"NURS (1), 58B (2)",2015-0162
Stipa gigantea,giant needle grass,Poaceae,"NW Afr, Port; C&S Spain",HE,50Q (1)                                                 ,1995-0148
Stipa gigantea,giant needle grass,Poaceae,"NW Afr, Port; C&S Spain",HE,159 (4)                                                 ,1994-0631
Stipa lessingiana 'Capriccio', ,Poaceae,Garden Origin,HE,NURS (12)                                                 ,2008-0345
Stipa pulcherrima 'Windfeder',feather grass,Poaceae,Garden Origin,HD,"24B (2), NURS (27), 35C (23)",1994-0536
Stokesia laevis,Stokes' aster,Asteraceae,SE USA,HE,50D (12)                                                 ,1998-0232
Stokesia laevis 'Mary Gregory',Stokes' aster,Asteraceae,Garden Origin,HE,16 (1)                                                 ,1999-0498
Stokesia laevis 'Mary Gregory',Stokes' aster,Asteraceae,Garden Origin,HE,68 (9)                                                 ,2003-0049
Stokesia laevis 'Omega Skyrocket',Stokes' aster,Asteraceae,Garden Origin,HE,37 (1)                                                 ,1999-0551
Stokesia laevis 'TrΣumerei',Stokes' aster,Asteraceae,Garden Origin,HE,50E (7)                                                 ,1998-0230
Strelitzia nicolai,giant bird-of-paradise,Strelitziaceae,Afr (Natal & NE Cape),HE,SEAS (1)                                                 ,2001-0327
Streptopus amplexifolius var. chalazatus,tubercle twistedstalk,Liliaceae,"S BC to Alta,s to Ore,Nev,NMex",HD,22B (18)                                                 ,2004-0080
Strobilanthes atropurpureus,Mexican petunia,Acanthaceae,Siberia,HD,25 (1)                                                 ,2016-0137
Stylophorum diphyllum,celandine poppy,Papaveraceae,"E USA, Ont",HD,27 (3)                                                 ,1988-0060
Stylophorum diphyllum,celandine poppy,Papaveraceae,"E USA, Ont",HD,137D (20)                                                 ,1995-0250
Stylophorum diphyllum,celandine poppy,Papaveraceae,"E USA, Ont",HD,"107A (19), 107B (1)",2013-0293
Stylophorum lasiocarpum,Chinese celandine poppy,Papaveraceae,C&E China,HD,NURS (2)                                                 ,2002-0305
Styphnolobium japonicum,Chinese scholar tree,Fabaceae,China & Korea,TD,130A (1)                                                 ,1999-0496
Styphnolobium japonicum,Chinese scholar tree,Fabaceae,China & Korea,TD,33 (1)                                                 ,1973-0185
Styphnolobium japonicum,Chinese scholar tree,Fabaceae,China & Korea,TD,86 (1)                                                 ,1973-0336
Styrax hemsleyanum,Hemsley Snowbell,Styracaceae,China,TD,NURS (1)                                                 ,2012-0264
Styrax japonicus,Japanese snowbell,Styracaceae,China & Japan,TD,136 (1)                                                 ,1995-0492
Styrax japonicus,Japanese snowbell,Styracaceae,China & Japan,TD,"33 (1), 124 (2)",1973-0184
Styrax japonicus,Japanese snowbell,Styracaceae,China & Japan,TD,"136 (1), 124 (1), NURS (8)",1982-1031
Styrax japonicus 'Fragrant Fountain',Japanese snowbell,Styracaceae,Garden Origin,TD,39 (1)                                                 ,2011-0292
Styrax obassia,fragrant snowbell,Styracaceae,"N China, Japan & Korea",TD,13C (1)                                                 ,1973-0094
Styrax obassia,fragrant snowbell,Styracaceae,"N China, Japan & Korea",TD,38C (1)                                                 ,2007-0181
Styrax obassia,fragrant snowbell,Styracaceae,"N China, Japan & Korea",TD,85 (1)                                                 ,2004-0082
Sycopsis sinensis,Chinese fighazel,Hamamelidaceae,C China,SE,121 (1)                                                 ,1991-0615
Sycopsis sinensis,Chinese fighazel,Hamamelidaceae,C China,SE,130A (1)                                                 ,2015-0178
Symphoricarpos albus,snowberry,Caprifoliaceae,"SE Ala, BC to Que; USA",SD,"NURS (5), 4 (10)",2011-0293
